Posição (mm) - Plot 0	Força (N) - Plot 0	Posição (mm) - Plot 1	Força (N) - Plot 1
41,108	44,268		
41,118	41,675		
41,13	41,305		
41,142	50,01		
41,154	38,341		
41,166	34,081		
41,177	30,377		
41,19	37,045		
41,203	45,38		
41,216	59,827		
41,228	54,641		
41,241	41,305		
41,252	52,603		
41,264	48,714		
41,276	35,378		
41,288	30,377		
41,298	31,303		
41,31	36,489		
41,322	39,823		
41,336	43,157		
41,347	43,713		
41,358	27,228		
41,371	18,708		
41,385	18,152		
41,397	14,818		
41,41	29,821		
41,422	23,894		
41,434	22,412		
41,444	34,822		
41,456	37,415		
41,467	29,451		
41,478	41,675		
41,49	42,787		
41,503	40,193		
41,514	35,192		
41,526	33,896		
41,538	32,414		
41,552	34,266		
41,565	30,377		
41,578	38,156		
41,591	43,898		
41,603	36,674		
41,614	28,339		
41,626	17,596		
41,637	18,337		
41,648	18,522		
41,659	22,227		
41,672	33,711		
41,684	30,377		
41,696	33,896		
41,707	37,6		
41,72	35,748		
41,733	27,228		
41,745	16,855		
41,758	10,928		
41,769	19,078		
41,781	29,451		
41,794	27,969		
41,804	20,93		
41,816	20,93		
41,828	26,302		
41,84	41,305		
41,852	38,156		
41,864	41,675		
41,876	34,266		
41,887	34,266		
41,898	46,862		
41,911	30,191		
41,926	21,115		
41,939	15,374		
41,95	25,561		
41,963	30,747		
41,976	40,379		
41,989	41,305		
42,002	21,115		
42,016	8,891		
42,029	15,559		
42,041	26,117		
42,052	43,342		
42,063	51,677		
42,075	50,566		
42,087	39,267		
42,1	32,97		
42,114	35,192		
42,127	35,933		
42,139	32,229		
42,152	30,191		
42,165	38,156		
42,178	27,413		
42,191	35,933		
42,203	41,305		
42,215	41,305		
42,226	47,788		
42,239	51,122		
42,252	12,966		
42,264	8,335		
42,276	14,447		
42,288	9,632		
42,299	6,112		
42,31	15,929		
42,322	40,379		
42,334	37,6		
42,346	35,563		
42,36	32,229		
42,373	39,823		
42,386	42,972		
42,4	46,862		
42,413	37,971		
42,426	32,97		
42,44	24,264		
42,453	31,488		
42,466	54,27		
42,478	48,899		
42,49	41,12		
42,502	41,305		
42,514	39,638		
42,527	32,044		
42,54	33,155		
42,553	33,155		
42,566	25,931		
42,578	10,002		
42,59	24,635		
42,601	49,084		
42,614	54,27		
42,627	47,232		
42,64	43,713		
42,653	47,417		
42,669	43,528		
42,682	23,523		
42,695	28,895		
42,708	22,968		
42,72	21,671		
42,733	33,711		
42,746	24,079		
42,758	25,19		
42,772	32,414		
42,784	29,265		
42,795	35,933		
42,806	44,824		
42,819	51,492		
42,83	52,233		
42,841	36,489		
42,852	18,522		
42,863	32,414		
42,876	43,157		
42,888	42,416		
42,9	47,973		
42,914	40,008		
42,927	37,045		
42,938	32,785		
42,95	22,042		
42,962	19,819		
42,974	33,34		
42,988	38,341		
43,001	38,526		
43,016	39,453		
43,027	30,562		
43,038	15,188		
43,05	19,448		
43,06	27,784		
43,073	22,042		
43,086	17,041		
43,099	27,598		
43,111	14,633		
43,123	31,118		
43,135	46,306		
43,146	47,788		
43,157	43,157		
43,168	42,231		
43,181	41,86		
43,194	16,3		
43,206	13,892		
43,218	13,892		
43,228	12,595		
43,239	8,335		
43,251	6,853		
43,263	19,819		
43,274	32,97		
43,285	41,675		
43,297	43,157		
43,309	43,528		
43,321	34,081		
43,333	22,782		
43,344	24,079		
43,357	32,414		
43,37	31,488		
43,382	39,082		
43,393	28,154		
43,406	19,448		
43,419	36,674		
43,431	22,597		
43,442	23,894		
43,454	37,971		
43,465	38,156		
43,477	34,081		
43,487	33,525		
43,5	32,785		
43,513	20,56		
43,525	12,225		
43,536	22,412		
43,547	22,412		
43,557	31,673		
43,569	43,342		
43,583	40,564		
43,596	40,934		
43,606	19,078		
43,617	16,485		
43,629	28,154		
43,641	32,414		
43,653	33,34		
43,665	10,187		
43,676	9,261		
43,687	12,78		
43,7	25,005		
43,711	18,337		
43,722	14,818		
43,734	21,856		
43,746	31,673		
43,759	28,895		
43,77	29,451		
43,782	28,339		
43,795	28,524		
43,809	39,823		
43,821	32,414		
43,834	24,635		
43,846	24,635		
43,859	20,004		
43,873	26,302		
43,886	26,302		
43,898	27,598		
43,911	10,373		
43,922	14,818		
43,935	28,524		
43,947	37,415		
43,96	35,748		
43,972	38,526		
43,986	37,23		
43,998	31,488		
44,011	20,375		
44,025	12,04		
44,036	20,93		
44,047	39,082		
44,059	47,602		
44,07	42,601		
44,081	37,786		
44,093	43,898		
44,105	21,115		
44,116	12,41		
44,128	14,633		
44,141	27,043		
44,153	26,672		
44,164	17,041		
44,175	11,669		
44,187	25,376		
44,199	30,562		
44,211	30,562		
44,224	37,6		
44,236	45,75		
44,249	28,524		
44,261	41,305		
44,272	40,193		
44,283	45,009		
44,297	35,748		
44,307	28,154		
44,319	20,56		
44,331	13,707		
44,343	19,263		
44,355	32,785		
44,367	45,75		
44,379	47,417		
44,389	47,047		
44,4	35,748		
44,41	19,448		
44,422	13,521		
44,434	10,928		
44,446	21,671		
44,457	32,785		
44,468	40,379		
44,48	34,822		
44,492	32,229		
44,505	32,414		
44,517	39,453		
44,528	44,454		
44,538	44,454		
44,551	38,897		
44,563	40,934		
44,575	41,12		
44,587	32,97		
44,6	43,898		
44,613	40,564		
44,626	33,896		
44,639	24,264		
44,651	10,928		
44,664	14,633		
44,677	24,079		
44,688	30,191		
44,703	30,191		
44,716	35,933		
44,73	42,046		
44,743	28,524		
44,755	23,338		
44,767	27,413		
44,779	32,785		
44,791	33,711		
44,804	9,632		
44,816	32,229		
44,828	27,784		
44,843	6,483		
44,856	10,928		
44,87	26,672		
44,882	26,672		
44,895	32,229		
44,911	27,228		
44,926	35,192		
44,94	30,932		
44,953	28,339		
44,965	27,043		
44,978	29,265		
44,992	24,635		
45,005	26,487		
45,017	31,858		
45,029	40,564		
45,041	50,751		
45,053	52,603		
45,065	35,933		
45,075	29,636		
45,087	37,045		
45,099	14,447		
45,11	14,447		
45,123	19,263		
45,133	34,822		
45,145	46,306		
45,157	43,157		
45,17	38,156		
45,183	37,6		
45,196	40,749		
45,207	40,749		
45,218	39,082		
